post_type,post_title,post_status,sku,parent_sku,regular_price,sale_price,manage_stock,stock_quantity,categories,description,short_description,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,images,gallery_images,gallery_image_alt,image_filename,image_titles,image_alt,sale_tag,attribute:color,attribute_name:color,attribute:application,attribute_name:application,attribute:closure-style,attribute_name:closure-style,attribute:lining-material,attribute_name:lining-material,attribute:long-strap,attribute_name:long-strap,attribute:number-of-inside-pockets,attribute_name:number-of-inside-pockets,attribute:number-of-outside-pockets,attribute_name:number-of-outside-pockets,attribute:number-of-straps,attribute_name:number-of-straps,attribute:outer-material,attribute_name:outer-material,attribute:suitable-for,attribute_name:suitable-for,attribute:dimention,attribute_name:dimention,attribute:bag-type,attribute_name:bag-type
product,کیف پاسپورتی کد ۴۳۶۹,publish,4369,,984000,787000.0,yes,,اکسسوری>کیف پاسپورتی,,,کیف پاسپورتی کد 4369,خرید کیف پاسپورتی کد 4369 به رنگ سفید MK درشت و سفید MK ریز و طوسی تیره کنفی با کیفیت عالی و قیمت مناسب از فروشگاه لوکس‌باز,کیف پاسپورتی کد 4369,https://luxbaz.com/product/passport-bag-4369/,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-main.webp,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-main.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-dark-gray-hemp.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-light-gray-hemp.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-brown-louis-vuitton.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-cream-lv.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-black-michael-kors-large-logo.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-stone-black.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-01.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-02.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-03.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-04.webp,کیف پاسپورتی کد 4369|کیف پاسپورتی کد 4369 رنگ dark gray hemp|کیف پاسپورتی کد 4369 رنگ light gray hemp|کیف پاسپورتی کد 4369 رنگ brown louis vuitton|کیف پاسپورتی کد 4369 رنگ cream lv|کیف پاسپورتی کد 4369 رنگ black michael kors - large logo|کیف پاسپورتی کد 4369 رنگ stone black|کیف پاسپورتی کد 4369 - نمای 01|کیف پاسپورتی کد 4369 - نمای 02|کیف پاسپورتی کد 4369 - نمای 03|کیف پاسپورتی کد 4369 - نمای 04,passport-bag-4369-main.webp|passport-bag-4369-dark-gray-hemp.webp|passport-bag-4369-light-gray-hemp.webp|passport-bag-4369-brown-louis-vuitton.webp|passport-bag-4369-cream-lv.webp|passport-bag-4369-black-michael-kors-large-logo.webp|passport-bag-4369-stone-black.webp|passport-bag-4369-01.webp|passport-bag-4369-02.webp|passport-bag-4369-03.webp|passport-bag-4369-04.webp,,کیف پاسپورتی کد 4369,تخفیف خورده‌ها,سفید MK درشت|سفید MK ریز|طوسی تیره کنفی|طوسی روشن کنفی|قهوه ای LV|قهوه ای فندی|کرم Coach|کرم LV|کرم پیچازی|کرم گوچی ریز|مشکی MK درشت|مشکی جیوانچی|مشکی دیور|مشکی سنگی,رنگ,اسپرت,کاربرد,زیپ,نحوه بسته شدن کیف,ساتن,جنس آستر,دارد,بند بلند,ندارد,تعداد جیب داخلی,ندارد,تعداد جیب بیرونی,1.0,تعداد بند,چرم مصنوعی,جنس رویه,من,مناسب برای,طول: ۲۵cm|عرض: ۵cm|کف: ۱۵cm,dimention,,
product_variation,,publish,4369-white michael kors - large logo,4369,984000,787000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-main.webp,,,passport-bag-4369-main.webp,کیف پاسپورتی کد ۴۳۶۹ - سفید MK درشت,کیف پاسپورتی کد ۴۳۶۹ - سفید MK درشت,,سفید MK درشت,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4369-white michael kors - small logo,4369,984000,787000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-main.webp,,,passport-bag-4369-main.webp,کیف پاسپورتی کد ۴۳۶۹ - سفید MK ریز,کیف پاسپورتی کد ۴۳۶۹ - سفید MK ریز,,سفید MK ریز,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4369-dark gray hemp,4369,984000,787000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-dark-gray-hemp.webp,,,passport-bag-4369-dark-gray-hemp.webp,کیف پاسپورتی کد ۴۳۶۹ - طوسی تیره کنفی,کیف پاسپورتی کد ۴۳۶۹ - طوسی تیره کنفی,,طوسی تیره کنفی,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4369-light gray hemp,4369,984000,787000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-light-gray-hemp.webp,,,passport-bag-4369-light-gray-hemp.webp,کیف پاسپورتی کد ۴۳۶۹ - طوسی روشن کنفی,کیف پاسپورتی کد ۴۳۶۹ - طوسی روشن کنفی,,طوسی روشن کنفی,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4369-brown louis vuitton,4369,984000,787000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-brown-louis-vuitton.webp,,,passport-bag-4369-brown-louis-vuitton.webp,کیف پاسپورتی کد ۴۳۶۹ - قهوه ای LV,کیف پاسپورتی کد ۴۳۶۹ - قهوه ای LV,,قهوه ای LV,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4369-brown fendi,4369,984000,787000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-main.webp,,,passport-bag-4369-main.webp,کیف پاسپورتی کد ۴۳۶۹ - قهوه ای فندی,کیف پاسپورتی کد ۴۳۶۹ - قهوه ای فندی,,قهوه ای فندی,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4369-cream coach,4369,984000,787000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-main.webp,,,passport-bag-4369-main.webp,کیف پاسپورتی کد ۴۳۶۹ - کرم Coach,کیف پاسپورتی کد ۴۳۶۹ - کرم Coach,,کرم Coach,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4369-cream lv,4369,984000,787000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-cream-lv.webp,,,passport-bag-4369-cream-lv.webp,کیف پاسپورتی کد ۴۳۶۹ - کرم LV,کیف پاسپورتی کد ۴۳۶۹ - کرم LV,,کرم LV,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4369-cream piazi,4369,984000,787000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4369-main.webp,,,passport-bag-4369-main.webp,کیف پاسپورتی کد ۴۳۶۹ - کرم پیچازی,کیف پاسپورتی کد ۴۳۶۹ - کرم پیچازی,,کرم پیچازی,رنگ,,,,,,,,,,,,,,,,,,,,,,
