شناسه,نوع,"شناسه محصول","نام ویژگی 1","مقدار ویژگی 1","ویژگی 1 قابل مشاهده است","ویژگی سراسری 1","نام ویژگی 2","مقدار ویژگی 2","ویژگی 2 قابل مشاهده است","ویژگی سراسری 2","نام ویژگی 3","مقدار ویژگی 3","ویژگی 3 قابل مشاهده است","ویژگی سراسری 3","نام ویژگی 4","مقدار ویژگی 4","ویژگی 4 قابل مشاهده است","ویژگی سراسری 4","نام ویژگی 5","مقدار ویژگی 5","ویژگی 5 قابل مشاهده است","ویژگی سراسری 5","نام ویژگی 6","مقدار ویژگی 6","ویژگی 6 قابل مشاهده است","ویژگی سراسری 6","متا: rank_math_internal_links_processed","متا: __is_newly_created_product","متا: _wp_page_template","متا: __first_variation_id","نام ویژگی 7","مقدار ویژگی 7","ویژگی 7 قابل مشاهده است","ویژگی سراسری 7","نام ویژگی 8","مقدار ویژگی 8","ویژگی 8 قابل مشاهده است","ویژگی سراسری 8","متا: rank_math_seo_score","متا: _prk_selectsizeguide","متا: product_facke_brand_show","متا: product_return_show","متا: special_send_box_single","متا: product_granti_show","متا: product_Original_show","متا: onsales_round","متا: product_hamta_show","متا: product_facke_brand_text","متا: product_return_text","متا: product_hamta_text","متا: progress_sales","متا: prk_add_to_cart_label","متا: prk_product_label","متا: en_pro_name","متا: product_english_name","متا: prk_product_featured_attributes","متا: date_send_pro"
8148,variable,3856,رنگ,"عسلی, قهوه ای, مشکی",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"تعداد جیب داخلی",8,1,1,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۱۸cm, عرض: ۱cm",1,1,1,,default,8151,,,,,,,,,,,,,,,,,,,,,,,,,,,
8155,variable,3868,رنگ,"عسلی طرح 1, عسلی طرح 10, عسلی طرح 11, عسلی طرح 12, عسلی طرح 13, عسلی طرح 14, عسلی طرح 2, عسلی طرح 3, عسلی طرح 4, عسلی طرح 5, عسلی طرح 6, عسلی طرح 7, عسلی طرح 8, عسلی طرح 9",0,1,کاربرد,روزمره,1,1,"جنس آستر",ندارد,1,1,"بند بلند",ندارد,1,1,"تعداد جیب داخلی",10,1,1,"جنس رویه","چرم مصنوعی",1,1,1,,default,8157,ابعاد,"طول: ۱۵cm, عرض: ۱cm, کف: ۱۰cm",1,1,,,,,,,,,,,,,,,,,,,,,,,
8164,variable,3871,رنگ,"سفید, سفید دیور, سفید طرح دار, طلائی, طلائی پلنگی, طوسی تیره, طوسی تیره گوچی ریز, قهوه ای, قهوه ای چهارخونه, قهوه ای طرح دار, قهوه ای گوچی ریز, مشکی, مشکی LV درشت, مشکی LV ریز, مشکی MK ریز, مشکی چهارخونه, مشکی سنگی, مشکی شرانگ, مشکی طرح 1, مشکی طرح دار, مشکی گوچی داغی, مشکی لویی ویتون درشت",0,1,کاربرد,روزمره,1,1,"جنس آستر",ساتن,1,1,"بند بلند",ندارد,1,1,"تعداد جیب داخلی",8,1,1,"جنس رویه","چرم مصنوعی",1,1,1,,default,8167,ابعاد,"طول: nancm, عرض: nancm",1,1,,,,,,,,,,,,,,,,,,,,,,,
8181,variable,4547,رنگ,"سفید MK ریز, سفید دیور, طوسی روشن, طوسی روشن کنفی, عسلی, عسلی فندی, قهوه ای LV درشت, کرم چهارخونه, کرم روشن, کرم روشن کنفی, مشکی جیوانچی, مشکی سنگی, مشکی شرانگ, مشکی لویی ویتون داغی, مشکی لیزارد",0,1,کاربرد,روزمره,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"تعداد بند",2,1,1,1,,default,8190,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۱۴cm, عرض: ۲۱cm",1,1,,,,,,,,,,,,,,,,,,,
8194,variable,4590,رنگ,"زرد, زرشکی, سبز آبی, سرمه ای, صورتی, طوسی روشن, قهوه ای, کرم روشن, مشکی, نارنجی, نسکافه ای",0,1,کاربرد,روزمره,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"تعداد بند",2,1,1,1,,default,8204,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۲۱cm, عرض: ۱۷cm",1,1,,,,,,,,,,,,,,,,,,,
8206,variable,4634,رنگ,"زرشکی, زرشکی شرانگ, سبز مغز پسته ای, عسلی, عسلی شرانگ, مشکی شرانگ, نسکافه ای, نسکافه ای شرانگ, یاسی, یاسی شرانگ",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"تعداد بند",1,1,1,1,,default,9243,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۱۵cm, عرض: ۲۲cm",1,1,,,,,,,,,,,,,,,,,,,
8213,variable,4646,رنگ,"سفید MK ریز, سفید پیچازی, سفید دیور, طوسی روشن, طوسی روشن کنفی, عسلی, عسلی فندی, قهوه ای LV ریز, قهوه ای کنفی, کرم پیچازی, کرم چهارخونه, مشکی barbery, مشکی جیوانچی",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد بند",1,1,1,"جنس رویه","چرم مصنوعی",1,1,1,,default,8220,ابعاد,"طول: ۱۲cm, عرض: ۲۰cm",1,1,,,,,,,,,,,,,,,,,,,,,,,
8224,variable,4650,رنگ,"طوسی تیره, طوسی تیره کنفی, کاراملی, کاراملی کنفی, مشکی کنفی",0,1,کاربرد,روزمره,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"جنس رویه",کنفی,1,1,ابعاد,"طول: ۲۱cm, عرض: ۴cm",1,1,1,,default,8227,,,,,,,,,,,,,,,,,,,,,,,,,,,
8228,variable,4658,رنگ,"سبز, سبز کنفی, سفید کنفی, طوسی روشن, طوسی روشن کنفی, مشکی کنفی",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد بند",1,1,1,"جنس رویه","چرم مصنوعی",1,1,1,,default,8232,ابعاد,"طول: ۱۳cm, عرض: ۲۱cm",1,1,,,,,,,,,,,,,,,,,,,,,,,
8233,variable,4659,رنگ,"طوسی روشن, طوسی روشن کنفی, کرم روشن, کرم روشن کنفی, نسکافه ای کنفی",0,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۱۷cm, عرض: ۲۲cm",1,1,1,,default,8236,,,,,,,,,,,,,,,,,,,,,,,,,,,
