Term ID,Term Permalink,Term Name,Term Slug,Description,Parent ID,Parent Name,Parent Slug,Count,Image URL,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,Image Filename,Image Path,Image ID,order,product_pa_color-selector
3457,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b3%d9%81%db%8c%d8%af,سفید,%d8%b3%d9%81%db%8c%d8%af,,0,,,20,,,,,,,,,,0,#ededed
3459,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b3%d8%b1%d9%85%d9%87-%d8%a7%db%8c%db%8c,سرمه ایی,%d8%b3%d8%b1%d9%85%d9%87-%d8%a7%db%8c%db%8c,,0,,,0,,,,,,,,,,0,#0b3193
3460,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%a7%d8%b3%d8%aa%db%8c%d9%84,استیل,%d8%a7%d8%b3%d8%aa%db%8c%d9%84,,0,,,0,,,,,,,,,,0,#bdbdbc
3461,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%82%d8%b1%d9%85%d8%b2,قرمز,%d9%82%d8%b1%d9%85%d8%b2,,0,,,11,,,,,,,,,,0,#f41e1e
3462,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%a8%d9%86%d9%81%d8%b4,بنفش,%d8%a8%d9%86%d9%81%d8%b4,,0,,,9,,,,,,,,,,0,#5947da
3463,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%86%d9%82%d8%b1%d9%87-%d8%a7%db%8c,نقره ای,%d9%86%d9%82%d8%b1%d9%87-%d8%a7%db%8c,,0,,,1,,,,,,,,,,0,#e0921e
3464,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%a8%d8%b1%d9%86%d8%b2,برنز,%d8%a8%d8%b1%d9%86%d8%b2,,0,,,0,,,,,,,,,,0,#ba740b
3465,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%86%d8%a7%d8%b1%d9%86%d8%ac%db%8c,نارنجی,%d9%86%d8%a7%d8%b1%d9%86%d8%ac%db%8c,,0,,,6,,,,,,,,,,0,#f67912
3466,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b7%d9%84%d8%a7%db%8c%db%8c,طلایی,%d8%b7%d9%84%d8%a7%db%8c%db%8c,,0,,,0,,,,,,,,,,0,#f7a468
3467,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%a2%d8%a8%db%8c,آبی,%d8%a2%d8%a8%db%8c,,0,,,14,,,,,,,,,,0,#1a6ff9
3468,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b3%d8%a8%d8%b2,سبز,%d8%b3%d8%a8%d8%b2,,0,,,20,,,,,,,,,,0,#1d9a34
3469,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%82%d9%87%d9%88%d9%87-%d8%a7%db%8c,قهوه ای,%d9%82%d9%87%d9%88%d9%87-%d8%a7%db%8c,,0,,,38,,,,,,,,,,0,#8B4513
3470,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b7%d9%88%d8%b3%db%8c-%d8%b1%d9%88%d8%b4%d9%86,طوسی روشن,%d8%b7%d9%88%d8%b3%db%8c-%d8%b1%d9%88%d8%b4%d9%86,,0,,,29,,,,,,,,,,0,#C0C0C0
3471,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b9%d8%b3%d9%84%db%8c,عسلی,%d8%b9%d8%b3%d9%84%db%8c,,0,,,38,,,,,,,,,,0,#C68642
3472,https://luxbaz.com/?taxonomy=pa_color-selector&term=%da%a9%d8%b1%d9%85-%d8%b1%d9%88%d8%b4%d9%86,کرم روشن,%da%a9%d8%b1%d9%85-%d8%b1%d9%88%d8%b4%d9%86,,0,,,20,,,,,,,,,,0,#FFF8DC
3473,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b9%d8%b3%d9%84%db%8c-%d8%b7%d8%b1%d8%ad-9,عسلی طرح 9,%d8%b9%d8%b3%d9%84%db%8c-%d8%b7%d8%b1%d8%ad-9,,0,,,1,,,,,,,,,,0,#C68642
3474,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b9%d8%b3%d9%84%db%8c-%d8%b7%d8%b1%d8%ad-12,عسلی طرح 12,%d8%b9%d8%b3%d9%84%db%8c-%d8%b7%d8%b1%d8%ad-12,,0,,,1,,,,,,,,,,0,#C68642
3475,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b9%d8%b3%d9%84%db%8c-%d8%b7%d8%b1%d8%ad-8,عسلی طرح 8,%d8%b9%d8%b3%d9%84%db%8c-%d8%b7%d8%b1%d8%ad-8,,0,,,1,,,,,,,,,,0,#C68642
3476,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b9%d8%b3%d9%84%db%8c-%d8%b7%d8%b1%d8%ad-2,عسلی طرح 2,%d8%b9%d8%b3%d9%84%db%8c-%d8%b7%d8%b1%d8%ad-2,,0,,,1,,,,,,,,,,0,#C68642
3477,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b9%d8%b3%d9%84%db%8c-%d8%b7%d8%b1%d8%ad-14,عسلی طرح 14,%d8%b9%d8%b3%d9%84%db%8c-%d8%b7%d8%b1%d8%ad-14,,0,,,1,,,,,,,,,,0,#C68642
